rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,48871358090.65514,97.54856228,7054635324.388782,41816722766.266365
2,Coinbase Exchange,coinbase-exchange,1103639018.7255776,88.38971364,1103639018.7255776,0.0
3,Upbit,upbit,798720824.7193861,68.00548468,798720824.7193861,0.0
6,OKX,okx,19970986223.272945,93.94134417,1401766655.2738922,18569219567.99905
7,Bybit,bybit,13961931420.175587,104.54942176,1611549012.404387,12350382407.7712
8,Bitget,bitget,9424675778.169113,136.60784911,1049633763.1255362,8375042015.043577
9,Gate,gate,11831323482.9167,114.6381586,1244781009.9322562,10586542472.984446
10,KuCoin,kucoin,3509746912.157374,70.15364284,1356851651.943088,2152895260.214286
13,MEXC,mexc,16967149169.98421,175.36587314,855929091.8364662,16111220078.147743
21,HTX,htx,5053138545.079794,146.21821927,1481737829.339702,3571400715.740092
