symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,77247.0,1547301749314.0,-1.4311030864575622
ETH,Ethereum,2132.93,257414430570.0,-2.6504230119587437
USDT,Tether,0.999417,189746769791.0,-0.01668136259938884
BNB,BNB,641.42,86453414826.0,-2.0421942504499606
XRP,XRP,1.39,85933660822.0,-2.2837967518964297
USDC,USDC,0.999813,76950443539.0,-0.0017357642388755182
SOL,Solana,84.93,49115010068.0,-2.2398887881172858
TRX,TRON,0.356122,33761378953.0,-0.019388297738305797
FIGR_HELOC,Figure Heloc,1.039,18518203467.0,
DOGE,Dogecoin,0.105035,16205941487.0,-5.787952577953459
