id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,67038.49752872759,68761.0,2.5694228462299082
ethereum,eth,Ethereum,1977.9474842474228,2132.06,7.791537287008128
binancecoin,bnb,BNB,646.1769042245747,614.77,-4.860418875890294
ripple,xrp,XRP,1.365649906028546,1.35,-1.1459676421798028
solana,sol,Solana,85.48466504930738,83.74,-2.0409099670696174
tron,trx,TRON,0.28200386584959963,0.31546,11.863714722351874
dogecoin,doge,Dogecoin,0.09345033487320889,0.09295,-0.535401905073671
whitebit,wbt,WhiteBIT Coin,49.12794690288015,52.53,6.92488351659655
leo-token,leo,LEO Token,9.035444023668104,10.03,11.007272843777049
bitcoin-cash,bch,Bitcoin Cash,443.5225423996764,459.55,3.613673729774178
