asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,71328.4,67127.52,71893.0,66158.0,6.258,90.15518744550992,偏强，上行主导
ETH,ETHUSDT,2059.35,1957.76,2092.9,1929.56,5.189,79.46002203991665,偏强，上行主导
