symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,71330.0,1426449299330.0,6.1103712094146685
ETH,Ethereum,2053.72,247868301585.0,4.812400349318582
USDT,Tether,0.999979,183708674459.0,0.016732459984977514
BNB,BNB,650.55,88706331866.0,3.865869331320819
XRP,XRP,1.39,85048019911.0,2.7858376046988385
USDC,USDC,0.999906,76331610914.0,-0.006532295138034524
SOL,Solana,89.3,50871298925.0,6.009767099833135
TRX,TRON,0.284351,26939865337.0,1.247195552238604
FIGR_HELOC,Figure Heloc,1.033,16045239097.0,0.24806255411175165
DOGE,Dogecoin,0.092304,15593964996.0,2.3256769082401982
