rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,84992048984.785,-4.09182191,12354699725.032484,72637349259.75252
2,Coinbase Exchange,coinbase-exchange,2782493277.0756207,-3.72618869,2782493277.0756207,0.0
3,Upbit,upbit,1554229723.0386066,-5.88770737,1554229723.0386066,0.0
6,OKX,okx,35392132597.809944,9.32897823,2411086305.449975,33019823639.664665
7,Bybit,bybit,24169022573.783813,2.17124829,2735219219.7440815,21433803354.039734
8,Bitget,bitget,13541631826.726149,5.59994539,1344750916.2462723,12196880910.479876
9,Gate,gate,25269574709.063908,0.43169548,2765063594.244716,22504511114.81919
10,KuCoin,kucoin,20620143922.765587,-16.73517378,3488195771.967222,17131948150.798365
15,MEXC,mexc,17697695920.348408,-12.11106412,3774737152.992437,13922958767.35597
22,HTX,htx,4891690716.985111,1.40967195,1425465221.4850593,3466225495.5000525
