rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,37506785401.05119,-40.5871119,6015288606.058782,31491496794.99241
2,Coinbase Exchange,coinbase-exchange,1251303625.1442528,-32.49027385,1251303625.1442528,0.0
3,Upbit,upbit,927010892.2183548,-16.31298252,927010892.2183548,0.0
6,OKX,okx,16411271467.55915,-35.98465309,1787176145.4987576,14624095322.060394
7,Bybit,bybit,9603454835.741953,-42.96836851,1386475358.3573298,8216979477.384624
8,Bitget,bitget,5996890477.402343,-40.68105832,773528253.8723506,5223362223.529992
9,Gate,gate,8618671607.116776,-43.49296822,1215160798.1844923,7403510808.932282
10,KuCoin,kucoin,3208899242.641172,-32.45337744,1315215551.6678767,1893683690.9732952
12,MEXC,mexc,15908233422.198515,-24.33060018,757282577.0437009,15150950845.154814
21,HTX,htx,2510414578.1790385,-39.13229552,980979324.3284055,1529435253.850633
