source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-05-01T12:01:21.535716+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-05-01T12:01:21.913754+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-05-01T12:01:22.495046+00:00
Backpack,USDT,0.008255777188492054,3.0133586737996,50000000.0,Public,annual,2026-05-01T12:01:23.127248+00:00
Binance,USDC,0.008386,3.06089,100000.0,VIP0,daily,2026-05-01T12:01:21.536808+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-05-01T12:01:21.913841+00:00
Bybit,USDC,0.0077557704,2.830856196,3500000.0,No VIP,hourly,2026-05-01T12:01:22.495080+00:00
Backpack,USDC,0.005334406721520892,1.9470584533551258,300000000.0,Public,annual,2026-05-01T12:01:23.127328+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-05-01T12:01:22.495221+00:00
Binance,BTC,0.001119,0.40843499999999994,60.0,VIP0,daily,2026-05-01T12:01:21.537284+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-05-01T12:01:21.914187+00:00
Bybit,BTC,0.0011185704,0.40827819600000004,300.0,No VIP,hourly,2026-05-01T12:01:22.495230+00:00
Backpack,BTC,0.0010228742611939382,0.3733491053357874,3000.0,Public,annual,2026-05-01T12:01:23.127389+00:00
Binance,ETH,0.0060609999999999995,2.212265,400.0,VIP0,daily,2026-05-01T12:01:21.537361+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-05-01T12:01:21.914198+00:00
Bybit,ETH,0.006061068,2.21228982,2000.0,No VIP,hourly,2026-05-01T12:01:22.495239+00:00
Backpack,ETH,0.004277870809254032,1.5614228453777217,20000.0,Public,annual,2026-05-01T12:01:23.127408+00:00
