symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,77437.0,1550426084199.0,1.8033558857048548
ETH,Ethereum,2285.74,275877381781.0,1.1870995668074256
USDT,Tether,0.99964,189509360173.0,0.015615757249970533
XRP,XRP,1.38,84949442423.0,0.5944410633695942
BNB,BNB,618.58,83381159553.0,0.46159797565868455
USDC,USDC,0.999792,77134691524.0,0.012172498969359586
SOL,Solana,83.96,48337018992.0,1.1230544191384633
TRX,TRON,0.326022,30898133983.0,0.15741360207671756
FIGR_HELOC,Figure Heloc,1.031,17799756110.0,-0.24454198139936115
DOGE,Dogecoin,0.108809,16768734179.0,2.3003017524700042
