rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,67615302987.21015,-1.89224361,9569175609.874693,58046127377.33546
2,Coinbase Exchange,coinbase-exchange,1902813797.841752,-7.06041051,1902813797.841752,0.0
3,Upbit,upbit,1676253848.3836608,-12.21311091,1676253848.3836608,0.0
6,OKX,okx,27425052102.561974,1.77340934,2071319730.9827976,25392509718.88387
7,Bybit,bybit,20301567111.545193,-1.2457536,2323356422.800985,17978210688.744205
8,Bitget,bitget,11899174385.514994,-3.91574883,1587944104.9782853,10311230280.536709
9,Gate,gate,20122581294.540844,-2.63858981,2427907923.5062532,17694673371.03459
10,KuCoin,kucoin,7838190871.714723,-38.78091113,2444238463.562674,5393952408.152048
16,MEXC,mexc,14717345341.236523,8.6198413,3157549946.5498524,11559795394.68667
24,HTX,htx,4708575573.079409,-2.80610619,1245932297.0634692,3462643276.0159397
