rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,48660574968.00026,-2.92372495,8067637813.491273,40592937154.50899
2,Coinbase Exchange,coinbase-exchange,1550082896.3734715,14.88831934,1550082896.3734715,0.0
3,Upbit,upbit,1352753466.5134652,-5.52764266,1352753466.5134652,0.0
6,OKX,okx,19220693748.621376,-12.72424479,1384865106.3063023,17872122804.763943
7,Bybit,bybit,13900656972.714191,-10.13289785,2639786834.059868,11260870138.654324
8,Bitget,bitget,8410770714.272389,-3.2626258,987853841.9907262,7422916872.281663
9,Gate,gate,12537014886.39244,-6.508147,1392529732.825707,11144485153.566734
10,KuCoin,kucoin,3445399725.5864687,-10.29168965,1377743672.7913945,2067656052.795074
12,MEXC,mexc,17635147548.44371,61.20414775,962084687.6782821,16673062860.765429
21,HTX,htx,3515251709.172841,-12.59575455,1222652138.6860347,2292599570.4868064
