rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,2055014258108.7878,4.66868406,1190394317051.6338,5.60209146,8821609522.88274,56132052973.19643
2,Coinbase Exchange,coinbase-exchange,60772251858.580795,-2.86112824,16320556694.31174,9.85952783,1843964532.3005395,0.0
3,Upbit,upbit,40221254277.21563,-19.75566776,3956767167.093439,-5.38643889,1001487684.2176956,0.0
6,OKX,okx,607758543104.8219,5.58700737,131546066717.74916,7.25723327,1750934590.310155,24273845450.888264
7,Bybit,bybit,525406544349.8203,1.65919557,111372584791.77466,-2.85680987,2145212808.367736,15728672856.011911
8,Bitget,bitget,343310660572.40894,4.21232848,77518372630.93962,4.82537603,1174286436.6118436,9894539529.556206
9,Gate,gate,535485423626.01666,-14.12155765,33595876508.19845,7.45076965,1826857402.93023,14268521476.327269
10,KuCoin,kucoin,138639807032.21677,-68.51389293,36046989999.43041,-58.28028981,2135790241.264494,3278248672.3517413
12,MEXC,mexc,229177159827.2172,0.52350514,51409195596.60783,-7.08520512,2209985686.9947085,12955670006.545956
22,HTX,htx,115686492791.33243,9.63765707,13126099512.160236,21.78509119,1349677326.5059826,3150596221.0924573
