rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,48351492232.99342,-28.32524438,6632904725.528946,41718587507.46448
2,Coinbase Exchange,coinbase-exchange,1358235989.7980769,-25.1529257,1358235989.7980769,0.0
3,Upbit,upbit,834953116.6399722,-26.31683272,834953116.6399722,0.0
6,OKX,okx,17571045365.45341,-28.19486098,1074939782.6081429,16539625235.699377
7,Bybit,bybit,13054325654.317371,-28.0775712,1439128175.4113429,11615197478.906027
8,Bitget,bitget,8251055730.62392,-29.07554723,797452653.0869558,7453603077.536964
9,Gate,gate,10784422930.908792,-30.60990878,1215721623.3910632,9568701307.517729
10,KuCoin,kucoin,3839926401.6940575,-23.43484893,1374364544.89058,2465561856.803478
13,MEXC,mexc,11548229807.924131,-28.89774054,1343713211.761867,10204516596.162264
22,HTX,htx,3799972612.7672224,-7.83924443,1877273685.4105923,1922698927.3566303
