symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66997.0,1340709276415.0,1.2295194793507496
ETH,Ethereum,2062.53,248954184367.0,1.5857747024527886
USDT,Tether,0.999924,184148104381.0,0.021682306681398977
XRP,XRP,1.32,81209520219.0,1.677154310608862
BNB,BNB,587.31,80082346068.0,1.0981873665552528
USDC,USDC,0.99999,77192867458.0,0.025322827242089067
SOL,Solana,80.05,45826504081.0,2.118064527959199
TRX,TRON,0.313332,29692562178.0,-0.7617574923999826
FIGR_HELOC,Figure Heloc,1.034,16971457775.0,0.8499562896901985
DOGE,Dogecoin,0.091458,14053350618.0,1.6473882708739875
