asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.75,,,6739439894.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,3.51375,3.51375,,3532119930.0,DefiLlama API
USDC,maple,Ethereum,4.63123,4.63123,0.0,3141277278.0,DefiLlama API
USYC,circle-usyc,BSC,3.14103,3.14103,,2551746405.0,DefiLlama API
USDT,maple,Ethereum,3.78257,3.78257,0.0,1942036061.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.56715,3.56715,,892688632.0,DefiLlama API
USTB,superstate-ustb,Ethereum,3.44717,3.44717,,829662470.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,806781996.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.22605,3.22605,,559005174.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,536613008.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.53623,3.53623,,525396920.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.22605,3.22605,,507395100.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.80852,,2.80852,505580975.0,DefiLlama API
USDC,jupiter-lend,Solana,3.83001,2.55193,1.27808,460954510.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.75,,,357035483.0,DefiLlama API
USDD,justlend,Tron,4.74107,0.00097,4.7401,338200163.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,5.58,5.58,,281101472.0,DefiLlama API
DAI,sky-lending,Ethereum,1.25,,,249429482.0,DefiLlama API
USDX,stables-labs-usdx,BSC,1.34994,1.34994,,241966347.0,DefiLlama API
USDC,fluid-lending,Ethereum,3.92,3.01,0.91,200264378.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,179856864.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,4.75333,,,173958580.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,2.73175,2.73175,,152664038.0,DefiLlama API
USCC,superstate-uscc,Ethereum,3.96093,3.96093,,148562885.0,DefiLlama API
USD1,lista-lending,BSC,1.62654,1.62654,0.0,138390061.0,DefiLlama API
USDT,justlend,Tron,1.47325,1.47325,0.0,135939691.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.14103,3.14103,,129858584.0,DefiLlama API
LIQUIDUSD,ether.fi-liquid,Ethereum,4.56468,4.56468,,128937114.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,125009839.0,DefiLlama API
USDT,fluid-lending,Ethereum,4.49,3.03,1.46,124690644.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,123646213.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.53612,3.53612,,111280184.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,110010150.0,DefiLlama API
PYUSD,euler-v2,Ethereum,6.30386,1.69997,4.60389,106864929.0,DefiLlama API
USDT,venus-core-pool,BSC,1.70421,1.70421,0.0,105698624.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,104175789.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,4.92257,1.88755,3.03502,102100633.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.88429,5.88429,,94370819.0,DefiLlama API
SDAI,sdai,Gnosis,4.13662,,,88393941.0,DefiLlama API
RLUSD,euler-v2,Ethereum,6.33847,1.50314,4.83533,78358676.0,DefiLlama API
TBILL,openeden-tbill,Ethereum,3.69822,3.69822,,77043888.0,DefiLlama API
GTUSDA,gauntlet,Base,4.13527,4.13527,,76752180.0,DefiLlama API
STCUSD,cap,Ethereum,5.27754,,,74935136.0,DefiLlama API
SIUSD,infinifi,Ethereum,5.58993,5.58993,,71356308.0,DefiLlama API
U,lista-lending,BSC,0.51136,0.51136,0.0,70468374.0,DefiLlama API
USDT,venus-flux,BSC,6.9,1.13,5.77,68541053.0,DefiLlama API
USDC,avantis,Base,8.53614,8.53614,,66650865.0,DefiLlama API
SFRAX,frax,Ethereum,1.22116,1.22116,,65337094.0,DefiLlama API
STUSDT,stusdt,Tron,3.63291,,,61656653.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,2.76632,2.76632,,61373936.0,DefiLlama API
USDO,openeden-usdo,Ethereum,3.24106,3.24106,,58853090.0,DefiLlama API
PLASMAUSD,veda,Plasma,2.91306,2.91306,,52404883.0,DefiLlama API
USDCUSDT,fluid-dex,Ethereum,0.29175,0.29175,,52261339.0,DefiLlama API
MSUSD,mainstreet,Ethereum,12.01412,12.01412,0.0,46805180.0,DefiLlama API
