source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-04-09T12:01:05.679823+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-09T12:01:06.096524+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-04-09T12:01:07.032450+00:00
Backpack,USDT,0.006749698345145481,2.4636398959781007,50000000.0,Public,annual,2026-04-09T12:01:07.435537+00:00
Binance,USDC,0.007679,2.802835,100000.0,VIP0,daily,2026-04-09T12:01:05.679912+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-04-09T12:01:06.096582+00:00
Bybit,USDC,0.0074615592,2.7234691079999997,3500000.0,No VIP,hourly,2026-04-09T12:01:07.032470+00:00
Backpack,USDC,0.0042694865976998665,1.5583626081604511,300000000.0,Public,annual,2026-04-09T12:01:07.435582+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-04-09T12:01:07.032519+00:00
Binance,BTC,0.001084,0.39566,60.0,VIP0,daily,2026-04-09T12:01:05.680086+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-09T12:01:06.096900+00:00
Bybit,BTC,0.0010838304,0.395598096,300.0,No VIP,hourly,2026-04-09T12:01:07.032522+00:00
Backpack,BTC,0.0004422338791609301,0.1614153658937395,3000.0,Public,annual,2026-04-09T12:01:07.435623+00:00
Binance,ETH,0.00656,2.3944,400.0,VIP0,daily,2026-04-09T12:01:05.680114+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-09T12:01:06.096913+00:00
Bybit,ETH,0.006665937599999999,2.4330672239999998,2000.0,No VIP,hourly,2026-04-09T12:01:07.032525+00:00
Backpack,ETH,0.0036870206752074464,1.345762546450718,20000.0,Public,annual,2026-04-09T12:01:07.435637+00:00
