exchange,asset,spot_price_usd,mark_price_usd,index_price_usd,basis_pct,funding_rate_pct,funding_interval_hours,annual_funding_pct,open_interest_contracts,quote_ccy
Binance,BTC,71169.56,71137.4,71171.68695652,-0.0481749948416362,-0.002425,8.0,-2.6553750000000003,91451.69,USDT
Binance,ETH,2180.43,2179.39354264,2180.39209302,-0.04579682632297846,-0.005399,8.0,-5.911905,2257538.041,USDT
OKX,BTC,71175.7,71163.8,,,0.0060887907727999995,8.0,6.667225896216,33606.08730000024,USDT
OKX,ETH,2180.39,2179.75,,,-0.00081054655648,8.0,-0.8875484793456,687719.3460000025,USDT
