rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,57754476567.23542,-24.57707124,7765510489.103672,49988966078.131744
2,Coinbase Exchange,coinbase-exchange,1698046281.244343,-28.09588185,1698046281.244343,0.0
3,Upbit,upbit,783039160.0730246,-36.72325488,783039160.0730246,0.0
6,OKX,okx,21455491788.093822,-28.74291464,1337842717.9905677,20161168722.957363
7,Bybit,bybit,17040386403.201628,-21.18332501,2006934434.5578249,15033451968.643803
8,Bitget,bitget,9387318402.772387,-25.90444236,806518984.0905465,8580799418.681841
9,Gate,gate,15601731724.90157,-17.43261935,1587427695.3793962,14014304029.522173
11,KuCoin,kucoin,3728702280.867789,-33.28050289,1590743449.681458,2137958831.1863308
12,MEXC,mexc,17435811895.71733,-18.17285853,1649597081.542149,15786214814.17518
22,HTX,htx,3540232459.49461,-35.17528343,1216840751.0213325,2323391708.473277
