source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.009263,3.380995,100000.0,VIP0,daily,2026-05-21T12:02:49.768228+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-05-21T12:02:50.716531+00:00
Backpack,USDT,0.010912838176944373,3.9831859345846965,50000000.0,Public,annual,2026-05-21T12:02:52.525629+00:00
Binance,USDC,0.011107,4.054055,100000.0,VIP0,daily,2026-05-21T12:02:49.768397+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-05-21T12:02:50.716566+00:00
Backpack,USDC,0.006211227786332015,2.2670981420111853,300000000.0,Public,annual,2026-05-21T12:02:52.525717+00:00
Binance,BTC,0.001119,0.40843499999999994,60.0,VIP0,daily,2026-05-21T12:02:49.768691+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-05-21T12:02:50.716818+00:00
Backpack,BTC,0.0015005365353485262,0.547695835402212,3000.0,Public,annual,2026-05-21T12:02:52.525785+00:00
Binance,ETH,0.006195999999999999,2.2615399999999997,400.0,VIP0,daily,2026-05-21T12:02:49.768739+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-05-21T12:02:50.716829+00:00
Backpack,ETH,0.004062450351102018,1.4827943781522366,20000.0,Public,annual,2026-05-21T12:02:52.525806+00:00
