asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.65,3.65,,5687937053.0,DefiLlama API
USDC,maple,Ethereum,4.76575,4.76575,0.0,3293734227.0,DefiLlama API
USYC,circle-usyc,BSC,3.15045,3.15045,,2862631641.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,4.29381,4.29381,,1785060139.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,994444917.0,DefiLlama API
USDS,centrifuge-protocol,Ethereum,3.82864,3.82864,,988798659.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.48667,3.48667,,937638288.0,DefiLlama API
USDT,maple,Ethereum,4.25347,4.25347,0.0,923972700.0,DefiLlama API
USTB,superstate-ustb,Ethereum,3.5117,3.5117,,820842806.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.45578,3.45578,,624754160.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.45555,3.45555,,602813648.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.1458,3.1458,,581092747.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,3.59552,,3.59552,506562469.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.24664,4.24664,0.0,465524016.0,DefiLlama API
USDC,jupiter-lend,Solana,4.47198,3.39625,1.07573,451563267.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.24807,4.24807,0.0,371956572.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.65,3.65,,358648317.0,DefiLlama API
USDD,justlend,Tron,4.02127,0.00052,4.02075,301780263.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.1,7.1,,296960167.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,4.88378,1.75607,3.12771,278848715.0,DefiLlama API
SENPYUSD,morpho-blue,Ethereum,2.66172,2.66172,0.0,278848704.0,DefiLlama API
USDC,centrifuge-protocol,Avalanche,2.3684,2.3684,,258684583.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,256587133.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,251114017.0,DefiLlama API
SDAI,sky-lending,Ethereum,1.25,1.25,,235733503.0,DefiLlama API
SENRLUSD,morpho-blue,Ethereum,1.84894,1.84894,0.0,202861361.0,DefiLlama API
SENRLUSDV2,morpho-blue,Ethereum,5.38477,2.09378,3.29099,202861359.0,DefiLlama API
USDC,fluid-lending,Ethereum,5.07,4.07,1.0,199663339.0,DefiLlama API
REUSD,re,Ethereum,6.09829,6.09829,,185491144.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,10.23762,10.23762,,181058771.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,180871145.0,DefiLlama API
USDC,centrifuge-protocol,Ethereum,2.3684,2.3684,,172662396.0,DefiLlama API
USCC,superstate-uscc,Ethereum,5.06094,5.06094,,146667217.0,DefiLlama API
USD1,lista-lending,BSC,2.31255,2.31255,0.0,138474692.0,DefiLlama API
USDT,fluid-lending,Ethereum,3.82,2.29,1.53,130796049.0,DefiLlama API
TBILL,openeden-tbill,Ethereum,3.36913,3.36913,,128593406.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,127489557.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,124214758.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.15045,3.15045,,119492832.0,DefiLlama API
STEAKUSDT,morpho-blue,Ethereum,4.30502,4.30502,0.0,116846763.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,113686193.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,3.23552,3.23552,0.0,112236815.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.1458,3.1458,,110112272.0,DefiLlama API
STEAKUSDTBETHENA,morpho-blue,Ethereum,4.95118,1.55118,3.4,105190375.0,DefiLlama API
GTUSDCP,morpho-blue,Ethereum,3.32747,3.32747,0.0,105130928.0,DefiLlama API
STCUSD,cap,Ethereum,4.73243,,,100691236.0,DefiLlama API
SKYMONEYUSDTSAVINGS,morpho-blue,Ethereum,3.44048,2.90253,0.53795,95842028.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,5.31951,2.79833,2.52117,94869590.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,4.65326,,,92300810.0,DefiLlama API
USDT,venus-core-pool,BSC,2.00209,2.00209,0.0,88845309.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.0418,5.0418,,79653101.0,DefiLlama API
MSUSD,mainstreet,Ethereum,12.0,12.0,0.0,78073299.0,DefiLlama API
SDAI,sdai,Gnosis,4.10304,4.10304,,74936215.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,8.53459,8.53459,,71162725.0,DefiLlama API
USDT,justlend,Tron,2.01357,2.01357,0.0,69056741.0,DefiLlama API
GTUSDA,gauntlet,Base,4.29695,4.29695,,66786901.0,DefiLlama API
SFRAX,frax,Ethereum,0.67394,0.67394,,65304177.0,DefiLlama API
STUSDT,stusdt,Tron,3.56018,,,63066477.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,1.38748,1.3484,0.03908,58905528.0,DefiLlama API
STEAKEURCV,morpho-blue,Ethereum,3.0,3.0,0.0,58451427.0,DefiLlama API
USDCUSDT,fluid-dex,Ethereum,1.51197,1.51197,,56885532.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,3.63437,3.63437,,52450557.0,DefiLlama API
U,lista-lending,BSC,0.63423,0.63423,0.0,51614053.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,6.93,,,50938355.0,DefiLlama API
SIUSD,infinifi,Ethereum,5.32065,5.32065,,50594979.0,DefiLlama API
SKYMONEYUSDSFLAGSHIP,morpho-blue,Ethereum,4.4699,0.50717,3.96273,49670739.0,DefiLlama API
USDC,fluid-lending,Arbitrum,4.92,4.92,,46445852.0,DefiLlama API
SUSDU,unitas,BSC,9.9292,9.9292,,46275523.0,DefiLlama API
PLASMAUSD,veda,Plasma,3.37048,3.21494,0.15554,45884477.0,DefiLlama API
USDC,avantis,Base,12.07678,12.07678,,44794241.0,DefiLlama API
USDC,ember-protocol,Ethereum,12.51626,12.51626,,43590769.0,DefiLlama API
GTUSDC,morpho-blue,Ethereum,3.39951,3.39951,0.0,39788291.0,DefiLlama API
USDC,fluid-lite,Ethereum,7.89,,,38007971.0,DefiLlama API
PUSDC,morpho-blue,Base,4.24501,4.24501,0.0,37438347.0,DefiLlama API
USDC,goldfinch,Ethereum,10.06456,10.06456,,37242098.0,DefiLlama API
USCC,superstate-uscc,Solana,5.06094,5.06094,,36646096.0,DefiLlama API
XUSDC,multipli.fi,Ethereum,3.06,,,36538402.0,DefiLlama API
LIQUIDUSD,ether.fi-liquid,Ethereum,5.04291,5.04291,,35942990.0,DefiLlama API
VUSD,curvance,Monad,0.5,0.0,0.5,34689236.0,DefiLlama API
USDC,euler-v2,Ethereum,1.84944,1.84944,,34504834.0,DefiLlama API
YUSD,aegis-yusd,Ethereum,3.41,,,34065291.0,DefiLlama API
USDC,centrifuge-protocol,Plume Mainnet,6.12635,6.12635,,32856783.0,DefiLlama API
SENPYUSDPRIMEV2,morpho-blue,Ethereum,9.54019,2.54019,7.0,32610120.0,DefiLlama API
BBQUSDC,morpho-blue,Ethereum,4.85884,4.85884,0.0,32479167.0,DefiLlama API
SFRXUSD,frax,Ethereum,4.04885,4.04885,,32391654.0,DefiLlama API
EARNAUSD,upshift,Monad,6.42945,4.59822,1.83122,32063523.0,DefiLlama API
STEAKUSDC,morpho-blue,Katana,3.07155,1.60359,1.46797,31765839.0,DefiLlama API
ARMUSDCS,morpho-blue,Ethereum,3.49619,3.49619,0.0,30137854.0,DefiLlama API
