rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,55047483268.70298,25.04445225,8409708386.305142,46637774882.397835
2,Coinbase Exchange,coinbase-exchange,1573264717.4900036,29.1239856,1573264717.4900036,0.0
3,Upbit,upbit,711541329.7219476,22.94610943,711541329.7219476,0.0
6,OKX,okx,21816675163.55689,26.91650297,1705220492.7542484,20111454670.802643
7,Bybit,bybit,13895651475.754879,37.81263802,1912054557.6625137,11983596918.092365
8,Bitget,bitget,9295911264.915527,25.16212327,1110260105.9934669,8185651158.92206
9,Gate,gate,12587389127.180767,25.28181279,1116558313.7644167,11470830813.416351
11,KuCoin,kucoin,3535910818.469881,25.19648619,1253510550.7015228,2282400267.768358
13,MEXC,mexc,16902897368.88192,10.62579038,1375760640.2521915,15527136728.629728
21,HTX,htx,3569179125.239007,27.82290956,1181657895.612004,2387521229.6270027
