asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,70888.28,71395.99,71500.0,70505.88,-0.711,38.46618114513298,区间震荡
ETH,ETHUSDT,2185.58,2202.06,2218.13,2175.0,-0.748,24.530489218641087,区间震荡
