rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,44580169843.40932,0.45898876,7005316280.004873,37574853563.40444
2,Coinbase Exchange,coinbase-exchange,1143704534.283249,27.22635061,1143704534.283249,0.0
3,Upbit,upbit,730454707.7843264,0.28511903,730454707.7843264,0.0
6,OKX,okx,19993721344.090694,7.58093078,1032621077.8668675,18990010550.4966
7,Bybit,bybit,11739675524.352175,-5.0102377,1417557971.9520319,10322117552.400143
8,Bitget,bitget,7478984803.217643,-6.4482948,1050391371.8457472,6428593431.371896
9,Gate,gate,10423891434.50725,-13.78509041,819765514.840897,9604125919.666353
11,KuCoin,kucoin,4612346546.084141,1.76988737,1559573155.214507,3052773390.869634
14,MEXC,mexc,15353084263.931496,17.40557853,1278718894.6190467,14074365369.312449
21,HTX,htx,2634438558.165319,-23.25106131,979678173.3819671,1654760384.7833521
