source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-04-13T12:01:00.280713+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-13T12:01:00.738149+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-04-13T12:01:01.413830+00:00
Backpack,USDT,0.007106286911343124,2.5937947226402405,50000000.0,Public,annual,2026-04-13T12:01:01.897489+00:00
Binance,USDC,0.007174,2.61851,100000.0,VIP0,daily,2026-04-13T12:01:00.280972+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-04-13T12:01:00.738202+00:00
Bybit,USDC,0.0069994392,2.554795308,3500000.0,No VIP,hourly,2026-04-13T12:01:01.413861+00:00
Backpack,USDC,0.00429166736664395,1.566458588825042,300000000.0,Public,annual,2026-04-13T12:01:01.897523+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-04-13T12:01:01.414008+00:00
Binance,BTC,0.0010890000000000001,0.39748500000000003,60.0,VIP0,daily,2026-04-13T12:01:00.281455+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-13T12:01:00.738463+00:00
Bybit,BTC,0.0010894944,0.397665456,300.0,No VIP,hourly,2026-04-13T12:01:01.414017+00:00
Backpack,BTC,0.00045740482638916854,0.1669527616320465,3000.0,Public,annual,2026-04-13T12:01:01.897557+00:00
Binance,ETH,0.007074,2.5820100000000004,400.0,VIP0,daily,2026-04-13T12:01:00.281533+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-13T12:01:00.738483+00:00
Bybit,ETH,0.0070742999999999995,2.5821194999999997,2000.0,No VIP,hourly,2026-04-13T12:01:01.414026+00:00
Backpack,ETH,0.00494939952725836,1.8065308274493015,20000.0,Public,annual,2026-04-13T12:01:01.897569+00:00
