asset,provider,apy_pct,source
DAI,EarnPark,7.0,Bitcompare
TUSD,JustLend,1.46,Bitcompare
USDC,EarnPark,4.0,Bitcompare
USDP,Nexo,10.5,Bitcompare
USDT,EarnPark,20.0,Bitcompare
