rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,26607967978.343025,-26.93854032,4036141702.2818832,22571826276.061142
2,Coinbase Exchange,coinbase-exchange,689719691.1246893,-45.80534554,689719691.1246893,0.0
3,Upbit,upbit,1830282707.205249,18.43862246,1830282707.205249,0.0
6,OKX,okx,11089504576.732391,-16.32862112,719859094.3039206,10369645482.42847
7,Bybit,bybit,7644019221.915012,-29.98229902,1103469413.3638194,6540549808.551193
8,Bitget,bitget,4311739721.325523,-27.40638009,478584964.5193639,3833154756.806159
9,Gate,gate,5350761215.824981,-25.91852386,653621086.5763881,4697140129.248592
13,KuCoin,kucoin,2497579482.4679885,-17.61928652,988471781.5169193,1509107700.951069
17,MEXC,mexc,9983898490.991003,-49.8701425,568035430.4277109,9415863060.563293
25,HTX,htx,1900004987.8548632,-24.2676731,986116071.4122031,913888916.4426601
