asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,68452.29,66950.6,68597.35,65618.49,2.243,95.13035187957767,偏强，上行主导
ETH,ETHUSDT,2009.5,1931.85,2022.0,1916.14,4.019,88.19195163423387,偏强，上行主导
