date,btc_dvol_close,eth_dvol_close
2026-02-01,48.27,66.29
2026-02-02,46.29,64.24
2026-02-03,51.74,72.26
2026-02-04,53.47,78.02
2026-02-05,82.62,95.78
2026-02-06,58.85,76.89
2026-02-07,59.35,79.46
2026-02-08,57.29,79.41
2026-02-09,54.46,76.89
2026-02-10,54.84,73.92
2026-02-11,55.29,74.62
2026-02-12,55.28,70.23
2026-02-13,52.04,68.22
2026-02-14,49.89,68.95
2026-02-15,51.28,71.58
2026-02-16,52.19,69.43
2026-02-17,52.01,70.18
2026-02-18,53.67,70.78
2026-02-19,52.66,69.78
2026-02-20,51.43,68.03
2026-02-21,51.7,68.45
2026-02-22,52.0,69.13
2026-02-23,56.1,72.71
2026-02-24,57.77,70.78
2026-02-25,53.59,71.1
2026-02-26,52.19,70.51
2026-02-27,52.55,71.23
2026-02-28,54.59,72.99
