currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,63942.5,63914.29,1087523280.0,-5.172e-05,-4.206e-05,777655500.0
ETH,ETH-PERPETUAL,1864.35,1864.74,342655072.0,0.0,-4.2e-05,222070054.0
