symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,71678.0,1434494145187.0,4.850788341638649
ETH,Ethereum,2246.96,271184919206.0,7.610233632033314
USDT,Tether,0.999915,184137487107.0,0.0005151472097802396
XRP,XRP,1.38,84602645541.0,5.4305129681408975
BNB,BNB,612.79,83557835226.0,2.66973920583335
USDC,USDC,0.999959,77918363967.0,-0.001958871484541955
SOL,Solana,84.44,48446057237.0,6.552175973913029
TRX,TRON,0.317705,30110137899.0,1.036152435907184
FIGR_HELOC,Figure Heloc,1.033,17077325786.0,1.325844486590491
DOGE,Dogecoin,0.09422,14486712612.0,4.146684722721981
