asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,71717.33,68355.1,72761.0,67732.01,4.919,79.2469263211898,偏强，上行主导
ETH,ETHUSDT,2248.74,2089.2,2273.87,2060.24,7.636,88.23667087955806,偏强，上行主导
