month,total_tvl_usd,ethereum_tvl_usd,solana_tvl_usd,bsc_tvl_usd,bitcoin_tvl_usd,base_tvl_usd,others_tvl_usd,ethereum_share_pct,solana_share_pct,bsc_share_pct,bitcoin_share_pct,base_share_pct,others_share_pct
2025-10,148170652742.0,84416837732.0,11312944217.0,8361300121.0,8050399108.0,5087810807.0,30941360757.0,56.97271097198282,7.635077532322477,5.643020372974257,5.433194063076472,3.4337506873638985,20.882246372280072
2025-11,118047207629.0,67966017863.0,8829172766.0,7015450587.0,6603495763.0,4400617887.0,23232452763.0,57.57528638593834,7.47935757510539,5.942919555580028,5.59394491037309,3.7278458130329586,19.680645759970194
2025-12,115831783465.0,67201882456.0,7885281230.0,6610434966.0,6777390146.0,4502948136.0,22853846531.0,58.01678990491058,6.807528118897206,5.706926689942078,5.851062586848515,3.8874892549337474,19.730203444467875
2026-01,113953291985.0,65865557954.0,8068301294.0,6615279992.0,6247220772.0,4566256469.0,22590675504.0,57.80048720546842,7.080358235777913,5.805255712025229,5.482264411301378,4.00712992969178,19.824504505735277
