rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,28626245101.71964,-17.83207509,4488942398.961713,24137302702.757927
2,Coinbase Exchange,coinbase-exchange,610549066.5199909,-34.51678477,610549066.5199909,0.0
3,Upbit,upbit,480243574.3017022,14.81275353,480243574.3017022,0.0
6,OKX,okx,12614418619.75553,-4.8868224,1380370864.2702262,11234047755.485302
7,Bybit,bybit,7317314818.242842,-5.31621751,863561137.966,6453753680.276841
9,Bitget,bitget,4364313382.213527,-6.79740844,362688715.45938116,4001624666.7541456
10,Gate,gate,7527205919.12476,6.6283123,785583913.2892606,6741622005.835499
11,KuCoin,kucoin,1813845854.493581,-6.93014102,578075535.9554561,1235770318.538125
18,MEXC,mexc,8406197197.741398,-29.18044093,875000331.2752119,7531196866.466187
22,HTX,htx,2111164117.4062471,17.53253216,1214465982.7691617,896698134.6370853
