symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,63966.0,1282944906836.0,-0.27460239160254385
ETH,Ethereum,1802.8,217635768892.0,0.19946620059681672
USDT,Tether,0.999308,184181839798.0,0.016931546073625688
BNB,BNB,579.76,78113368244.0,0.10099138156241763
USDC,USDC,0.999781,73382739330.0,-0.014912719961952712
XRP,XRP,1.096,68500133346.0,-0.9969949816885975
SOL,Solana,77.01,44856951879.0,-1.2915281502685383
TRX,TRON,0.3315,31448815419.0,0.322206004417375
FIGR_HELOC,Figure Heloc,1.041,20674649790.0,0.7311503507051098
HYPE,Hyperliquid,66.92,14888930761.0,-0.04949754848480794
