asset,daily_rate_pct,annual_rate_pct,borrow_limit,source,updated_at_utc
BTC,0.001119,0.40843499999999994,100.0,taoli,2026-05-23T12:01:56.263326+00:00
ETH,0.005967,2.1779550000000003,2000.0,taoli,2026-05-23T12:01:56.263410+00:00
USDC,0.011139,4.065735,500000.0,taoli,2026-05-23T12:01:56.262789+00:00
USDT,0.008912999999999999,3.2532449999999997,500000.0,taoli,2026-05-23T12:01:56.262555+00:00
