symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,74720.0,1497040007535.0,-3.364138778864635
ETH,Ethereum,2029.68,244976017042.0,-4.597361587766382
USDT,Tether,0.998852,189500800729.0,0.0011088228089595287
BNB,BNB,639.57,86204252302.0,-2.658853452127958
XRP,XRP,1.32,81881953052.0,-2.660840675009961
USDC,USDC,0.99978,76488724973.0,0.004728262637717021
SOL,Solana,82.24,47538979906.0,-5.681358941241355
TRX,TRON,0.358868,34021741712.0,-1.5419570007119112
FIGR_HELOC,Figure Heloc,1.022,18400243945.0,-0.47003134841442706
DOGE,Dogecoin,0.099236,15320027112.0,-6.5528354229671155
