asset,provider,apy_pct,source
DAI,EarnPark,7.0,Bitcompare
PYUSD,Euler Finance,8.61,Bitcompare
TUSD,JustLend,1.44,Bitcompare
USDC,EarnPark,4.0,Bitcompare
USDE,Pendle,4.74,Bitcompare
USDP,Nexo,10.5,Bitcompare
USDT,EarnPark,20.0,Bitcompare
