symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,78039.0,1563198189016.0,-3.0808810194776926
ETH,Ethereum,2175.24,262522099013.0,-3.545928487765515
USDT,Tether,0.999481,189758703178.0,-0.023216222440944723
BNB,BNB,653.97,88153266818.0,-4.5717668106738225
XRP,XRP,1.41,87225685192.0,-3.946579563717884
USDC,USDC,0.999798,76953171188.0,0.005983079728119812
SOL,Solana,86.08,49780960969.0,-5.656881551892255
TRX,TRON,0.351872,33355664886.0,-0.057932513602271266
FIGR_HELOC,Figure Heloc,1.031,18343250545.0,-0.18755845168394067
DOGE,Dogecoin,0.108961,16809082909.0,-4.638489951189715
