rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,1206918977311.4045,41.60351986,689992063840.8768,15.70090194,8194214394.995475,51771674554.85336
2,Coinbase Exchange,coinbase-exchange,23905139942.01544,38.58812097,14632142228.164532,35.17531945,1505517587.2990294,0.0
3,Upbit,upbit,38603419601.46487,-24.22396543,6921755037.410623,28.94222966,828558892.496564,0.0
6,OKX,okx,838707188159.1425,40.12056707,161683734971.7697,15.55494037,2004366522.1559734,23129887822.501705
7,Bybit,bybit,424628851515.50903,30.23984218,108609318612.87646,12.98214615,2077663483.7572675,12572682006.82595
8,Bitget,bitget,234257224457.43765,34.24185532,63571003159.528656,9.98317319,738361857.8807502,8137403952.875657
9,Gate,gate,264562631863.4567,51.06278182,101869537633.28198,21.06378242,1684823787.637545,11877007041.353727
10,KuCoin,kucoin,100276033493.46643,2.3016683,20596183241.561,13.55183096,1179700235.188635,2003999382.153957
17,MEXC,mexc,118977692698.66896,7.2162422,27816005404.88565,-14.9911606,1550403458.3480778,10850141769.076769
22,HTX,htx,61085094980.420685,32.26145271,30102033742.637516,-7.20160771,1282397694.9890127,1512042701.0302024
