rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,22330456931.552315,-49.04571217,3206326304.262085,19124130627.29023
2,Coinbase Exchange,coinbase-exchange,544875154.1300119,-43.54518646,544875154.1300119,0.0
3,Upbit,upbit,492336672.1800201,-8.01154073,492336672.1800201,0.0
7,OKX,okx,9530058504.653269,-40.28782487,771670859.5024102,8758387645.150858
8,Bybit,bybit,5702287701.374448,-36.22769322,654252855.9578817,5048034845.416567
9,Bitget,bitget,3371724525.994671,-41.11218342,315721273.9936287,3056003252.0010424
10,Gate,gate,4594643200.235845,-38.6835076,588441153.3823843,4006202046.85346
12,KuCoin,kucoin,1672836949.6654713,-19.94413696,567625540.1060296,1105211409.5594416
19,MEXC,mexc,7271597399.037607,-50.01320235,763947418.2158223,6507649980.821785
25,HTX,htx,1529667893.1022077,-22.92270094,814748290.5251412,714919602.5770663
