asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.6,3.6,,4788183540.0,DefiLlama API
USDC,maple,Ethereum,4.82854,4.82854,0.0,3208750956.0,DefiLlama API
USYC,circle-usyc,BSC,3.0483,3.0483,,2866923225.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,3.99586,3.99586,,1573212476.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,1107879739.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.5133,3.5133,,962462587.0,DefiLlama API
USDT,maple,Ethereum,4.18787,4.18787,0.0,932204579.0,DefiLlama API
USDS,centrifuge-protocol,Ethereum,3.335,3.335,,869599772.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.17238,3.17238,,821873071.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.48251,3.48251,,736051500.0,DefiLlama API
USTB,invesco-ustb,Ethereum,3.29747,3.29747,,653318231.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.48218,3.48218,,547360873.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,532924708.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.2466,,2.2466,507850507.0,DefiLlama API
USDD,justlend-v1,Tron,3.95817,0.02119,3.93697,447397627.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.26255,4.26255,0.0,426677849.0,DefiLlama API
USDC,jupiter-lend,Solana,4.54359,3.821,0.72259,420162415.0,DefiLlama API
AUSD,centrifuge-protocol,Ethereum,2.57276,2.57276,,374345317.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.2677,4.2677,0.0,369357734.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.6,3.6,,360590370.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.22,7.22,,328349131.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,4.85626,1.84096,3.01531,323618344.0,DefiLlama API
SENRLUSDV2,morpho-blue,Ethereum,6.0058,2.47784,3.52795,284758923.0,DefiLlama API
USDC,centrifuge-protocol,Avalanche,2.57276,2.57276,,260238903.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,257644587.0,DefiLlama API
USDS,sky-lending,Ethereum,6.38733,,6.38733,234367199.0,DefiLlama API
USDG,maple,Ethereum,5.04006,5.04006,0.0,225610335.0,DefiLlama API
SIRLOINUSDC,morpho-blue,Base,5.42959,2.42989,2.9997,221058328.0,DefiLlama API
SDAI,sky-lending,Ethereum,1.25,1.25,,212392982.0,DefiLlama API
STUSDS,sky-lending,Ethereum,6.54,6.54,,188572292.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,181539818.0,DefiLlama API
USDC,pareto-credit,Ethereum,8.31317,8.31317,,159671447.0,DefiLlama API
REUSD,re,Ethereum,6.17829,6.17829,,158598536.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,13.59696,13.59696,,147824896.0,DefiLlama API
STEAKUSDG,morpho-blue,Robinhood Chain,2.16892,2.16892,0.0,139042527.0,DefiLlama API
USDC,fluid-lending,Ethereum,5.15,5.15,,138906201.0,DefiLlama API
USDT,fluid-lending,Ethereum,4.15,4.15,,138011376.0,DefiLlama API
USD1,lista-lending,BSC,0.54531,0.54531,0.0,137870666.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,137335302.0,DefiLlama API
USD1,dolomite,Ethereum,7.51015,1.46956,6.04059,133416962.0,DefiLlama API
SENPYUSDPRIMEV2,morpho-blue,Ethereum,6.04713,3.18359,2.86354,130940473.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,123817261.0,DefiLlama API
AUSD,accountable,Monad,6.82799,6.5475,0.28049,113918443.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.17238,3.17238,,110617690.0,DefiLlama API
STEAKEURCV,morpho-blue,Ethereum,3.5,3.5,0.0,105153086.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,7.93231,7.93231,,97774267.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,3.10564,3.10564,0.0,95177345.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.0483,3.0483,,91681631.0,DefiLlama API
STEAKUSDT,morpho-blue,Ethereum,2.37481,2.37481,0.0,87945333.0,DefiLlama API
ETHENAUSDC,morpho-blue,Base,3.84987,3.84987,0.0,79846998.0,DefiLlama API
MSUSD,mainstreet,Ethereum,6.68535,6.68535,0.0,74283272.0,DefiLlama API
USDC,midas-rwa,Ethereum,10.34,10.34,,73747337.0,DefiLlama API
GTUSDCP,morpho-blue,Ethereum,3.25983,3.25983,0.0,72455424.0,DefiLlama API
