rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,62859052246.02283,-13.44703062,8569133079.98736,54289919166.03547
2,Coinbase Exchange,coinbase-exchange,1749132380.8296614,-15.00736431,1749132380.8296614,0.0
3,Upbit,upbit,1343173221.0270526,-30.87431516,1343173221.0270526,0.0
6,OKX,okx,25387044280.977936,-14.26621395,1872601772.517021,23553219855.765606
7,Bybit,bybit,17697967457.165062,-21.65278727,2130780413.0711439,15567187044.093918
8,Bitget,bitget,11164576195.16296,-14.15292964,1711067991.0957193,9453508204.067242
9,Gate,gate,19165166061.85933,-12.55089741,2304664587.944608,16860501473.914719
13,KuCoin,kucoin,18632366316.32093,36.88138331,2087504579.0329525,16544861737.287977
14,MEXC,mexc,14123786347.864798,-9.5587647,2959518778.006154,11164267569.858644
25,HTX,htx,4362889330.923729,-11.40874051,1165014557.092352,3197874773.8313775
