symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66551.0,1330787249726.0,-2.1945733353166763
ETH,Ethereum,1964.27,237063512488.0,-3.6528762453319006
USDT,Tether,0.999961,183630134587.0,-0.05095503313739138
BNB,BNB,622.13,84814846062.0,-0.44090061335821445
XRP,XRP,1.37,83588157274.0,-3.46329173010963
USDC,USDC,0.999936,75190558938.0,0.002177103179219484
SOL,Solana,84.62,48201288441.0,-3.3849600304200944
TRX,TRON,0.281851,26700311362.0,-0.4742392371997789
FIGR_HELOC,Figure Heloc,1.029,15908254518.0,0.0
DOGE,Dogecoin,0.093379,15775262731.0,-3.228132071903854
