symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66006.0,1322032924776.0,-3.7194316610382328
ETH,Ethereum,2026.16,244647776358.0,-5.011667932039009
USDT,Tether,0.999708,184106606925.0,0.001719030458849911
XRP,XRP,1.3,79630019515.0,-4.257688693309309
BNB,BNB,578.81,78987482459.0,-5.824766999897248
USDC,USDC,0.99999,77296013353.0,0.008219795908907462
SOL,Solana,78.13,44746970682.0,-6.325696971626024
TRX,TRON,0.316153,29960848892.0,0.16549912972040487
FIGR_HELOC,Figure Heloc,1.025,16707788841.0,-0.21993962926297653
DOGE,Dogecoin,0.08978,13795137110.0,-2.9231336912957935
