rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,67641766586.42459,3.94423458,9334587541.76091,58307179044.66368
2,Coinbase Exchange,coinbase-exchange,1749801427.7708375,-6.32741766,1749801427.7708375,0.0
3,Upbit,upbit,1139626874.1954405,7.83890129,1139626874.1954405,0.0
6,OKX,okx,24498331752.22392,-7.31986606,2094998392.4764657,22446853012.601562
7,Bybit,bybit,18268333599.81123,3.26596234,2062314809.2017112,16206018790.60952
8,Bitget,bitget,11670756272.2676,6.7107635,1074940862.3965511,10595815409.871048
9,Gate,gate,15020576421.666222,-9.4275151,1691478792.9364233,13329097628.7298
10,KuCoin,kucoin,5027098870.492283,-6.33044964,1774929131.625976,3252169738.8663063
16,MEXC,mexc,14792040400.497442,-5.14263044,1451146000.4633684,13340894400.034075
23,HTX,htx,4133112484.7867675,-7.56572207,1282947594.165122,2850164890.6216455
