asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.75,,,6559778662.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,3.5535,3.5535,,3542622098.0,DefiLlama API
USDC,maple,Ethereum,4.60235,4.60235,0.0,3305784196.0,DefiLlama API
USDT,maple,Ethereum,3.78945,3.78945,0.0,2056269231.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.56182,3.56182,,867605437.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,686704889.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.22074,3.22074,,559002896.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,536561723.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.53091,3.53091,,525346974.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.22074,3.22074,,507346588.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.71998,,2.71998,503112280.0,DefiLlama API
USDC,jupiter-lend,Solana,3.71763,2.46993,1.2477,472470058.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.75,,,357264042.0,DefiLlama API
USDD,justlend,Tron,4.74918,0.00097,4.74821,337622503.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,5.58,5.58,,281108870.0,DefiLlama API
DAI,sky-lending,Ethereum,1.25,,,249448250.0,DefiLlama API
USDX,stables-labs-usdx,BSC,1.34994,1.34994,,241966347.0,DefiLlama API
USDC,fluid-lending,Ethereum,4.04,3.13,0.91,199899171.0,DefiLlama API
REUSD,re,Ethereum,6.07541,6.07541,,185550666.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,179839675.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,4.75333,,,176719956.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,2.76112,2.76112,,162811054.0,DefiLlama API
USCC,superstate-uscc,Ethereum,3.34367,3.34367,,148581769.0,DefiLlama API
USD1,lista-lending,BSC,2.5112,2.5112,0.0,138352139.0,DefiLlama API
USDT,justlend,Tron,1.55193,1.55193,0.0,129446309.0,DefiLlama API
LIQUIDUSD,ether.fi-liquid,Ethereum,3.99453,3.99453,,128706070.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,124964480.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,123634395.0,DefiLlama API
USDT,fluid-lending,Ethereum,4.71,3.21,1.5,120796220.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.53076,3.53076,,111269605.0,DefiLlama API
USDT,venus-core-pool,BSC,1.57354,1.57354,0.0,110123306.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,110010150.0,DefiLlama API
PYUSD,euler-v2,Ethereum,6.35445,1.70963,4.64482,106090369.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,104165832.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,4.95325,1.90792,3.04533,101737176.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.89326,5.89326,,94317380.0,DefiLlama API
SDAI,sdai,Gnosis,4.17718,,,88377808.0,DefiLlama API
RLUSD,euler-v2,Ethereum,6.28266,1.48161,4.80105,79985950.0,DefiLlama API
USD1,dolomite,Ethereum,2.00397,2.00397,0.0,79128373.0,DefiLlama API
TBILL,openeden-tbill,Ethereum,3.72077,3.72077,,78369231.0,DefiLlama API
GTUSDA,gauntlet,Base,4.46651,4.46651,,78276229.0,DefiLlama API
STCUSD,cap,Ethereum,4.91416,,,73703813.0,DefiLlama API
SIUSD,infinifi,Ethereum,6.05001,6.05001,,71060798.0,DefiLlama API
U,lista-lending,BSC,0.54376,0.54376,0.0,70453171.0,DefiLlama API
USDC,avantis,Base,8.20788,8.20788,,67381859.0,DefiLlama API
USDT,venus-flux,BSC,7.15,1.19,5.96,66271299.0,DefiLlama API
SFRAX,frax,Ethereum,0.67249,0.67249,,65335097.0,DefiLlama API
STUSDT,stusdt,Tron,3.63482,,,61615304.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,2.16399,2.16399,,60721358.0,DefiLlama API
PLASMAUSD,veda,Plasma,2.48693,2.48693,,52596924.0,DefiLlama API
MSUSD,mainstreet,Ethereum,11.97889,11.97889,0.0,46741753.0,DefiLlama API
USDC,euler-v2,Ethereum,3.48755,3.48755,,42596380.0,DefiLlama API
USDO,openeden-usdo,Ethereum,3.24135,3.24135,,41822325.0,DefiLlama API
USDSUSDC,raydium-amm,Solana,0.3,0.3,0.0,40676008.0,DefiLlama API
USDC,goldfinch,Ethereum,9.93111,9.93111,,37744840.0,DefiLlama API
CRVUSD,curve-llamalend,Ethereum,0.79233,0.1895,0.60283,37728628.0,DefiLlama API
EARNAUSD,upshift,Monad,10.68877,6.35225,4.33652,37590427.0,DefiLlama API
XUSDC,multipli.fi,Ethereum,4.03,,,37344398.0,DefiLlama API
YUSD,aegis,Ethereum,4.11,,,36049767.0,DefiLlama API
USDX,clearpool-lending,Flare,3.49901,3.49901,0.0,35311417.0,DefiLlama API
USCC,superstate-uscc,Solana,3.34367,3.34367,,35251378.0,DefiLlama API
SCRVUSD,crvusd,Ethereum,4.09483,4.09483,,34110024.0,DefiLlama API
VBUSDC,yearn-finance,Katana,1.92679,1.92679,0.0,33038868.0,DefiLlama API
SYZUSD,yuzu-money,Plasma,7.267,7.267,,32567429.0,DefiLlama API
USDC,fluid-lending,Arbitrum,5.62,4.72,0.9,32231916.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,4.01,,,31823905.0,DefiLlama API
USDC,yearn-finance,Ethereum,3.58108,3.58108,0.0,31415278.0,DefiLlama API
