symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,74419.0,1488711348802.0,4.984167713791143
ETH,Ethereum,2375.56,286610353880.0,8.710922409187484
USDT,Tether,1.0,184705297031.0,0.013091302391142624
BNB,BNB,616.8,84139256095.0,3.274244492749597
XRP,XRP,1.37,84128970637.0,3.3507708789735635
USDC,USDC,0.999723,78675925284.0,-0.008817975616791866
SOL,Solana,85.84,49393900497.0,4.84220744908374
TRX,TRON,0.321056,30420645322.0,-0.2037062512169862
FIGR_HELOC,Figure Heloc,1.027,17091614828.0,0.7193443706693023
DOGE,Dogecoin,0.094257,14496792728.0,3.6447790462768794
