rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,80704462399.37997,79.67623404,13580649530.76815,67123812868.61182
2,Coinbase Exchange,coinbase-exchange,3116128997.9466515,171.93620282,3116128997.9466515,0.0
3,Upbit,upbit,1250939941.8642538,71.42679242,1250939941.8642538,0.0
6,OKX,okx,34557804551.75061,72.09627895,2482194172.563376,32104520663.460007
7,Bybit,bybit,21131073257.51866,79.96962277,2781623466.28567,18349449791.232994
8,Bitget,bitget,13576863127.745842,81.56673312,1499565086.052158,12077298041.693684
9,Gate,gate,18723596608.27797,80.04813538,1313130467.224143,17410466141.053825
10,KuCoin,kucoin,6395475947.676831,38.3848545,2403167248.2187543,3992308699.4580774
12,MEXC,mexc,22039336458.835354,52.3977831,2088871221.3073003,19950465237.528053
20,HTX,htx,5446010901.437853,106.89301331,1753240737.4131305,3692770164.0247226
