source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-14T12:02:01.832536+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-04-14T12:02:05.583842+00:00
Backpack,USDT,0.0071378756400671825,2.605324608624522,50000000.0,Public,annual,2026-04-14T12:02:07.122788+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-04-14T12:02:01.832587+00:00
Bybit,USDC,0.0070087608000000004,2.5581976920000002,3500000.0,No VIP,hourly,2026-04-14T12:02:05.583873+00:00
Backpack,USDC,0.004323201778638949,1.5779686492032163,300000000.0,Public,annual,2026-04-14T12:02:07.122834+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-04-14T12:02:05.583992+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-14T12:02:01.832774+00:00
Bybit,BTC,0.0010834608,0.395463192,300.0,No VIP,hourly,2026-04-14T12:02:05.583999+00:00
Backpack,BTC,0.0004684984539077655,0.1710019356763344,3000.0,Public,annual,2026-04-14T12:02:07.122867+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-14T12:02:01.832783+00:00
Bybit,ETH,0.007784376000000001,2.8412972400000003,2000.0,No VIP,hourly,2026-04-14T12:02:05.584006+00:00
Backpack,ETH,0.004825042508869652,1.761140515737423,20000.0,Public,annual,2026-04-14T12:02:07.122879+00:00
