source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.010254000000000001,3.7427100000000006,500000.0,VIP0,daily,2026-07-28T12:03:21.366396+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-07-28T12:03:22.109190+00:00
Bybit,USDT,0.0102541392,3.742760808,8000000.0,No VIP,hourly,2026-07-28T12:03:24.099428+00:00
Backpack,USDT,0.011143971760811347,4.067549692696142,50000000.0,Public,annual,2026-07-28T12:03:26.783047+00:00
Binance,USDC,0.011758,4.29167,500000.0,VIP0,daily,2026-07-28T12:03:21.366725+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-07-28T12:03:22.109275+00:00
Bybit,USDC,0.009998051999999999,3.6492889799999997,3500000.0,No VIP,hourly,2026-07-28T12:03:24.099502+00:00
Backpack,USDC,0.005950047012352963,2.1717671595088315,300000000.0,Public,annual,2026-07-28T12:03:26.783129+00:00
Bybit,USDE,0.0136990632,5.000158068,1013200.0,No VIP,hourly,2026-07-28T12:03:24.099651+00:00
Binance,BTC,0.001038,0.37887000000000004,100.0,VIP0,daily,2026-07-28T12:03:21.367268+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-07-28T12:03:22.109507+00:00
Bybit,BTC,0.0010375584,0.37870881599999995,300.0,No VIP,hourly,2026-07-28T12:03:24.099660+00:00
Backpack,BTC,0.0012345169898519126,0.4505987012959481,3000.0,Public,annual,2026-07-28T12:03:26.783166+00:00
Binance,ETH,0.005862,2.13963,2000.0,VIP0,daily,2026-07-28T12:03:21.367355+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-07-28T12:03:22.109517+00:00
Bybit,ETH,0.005862393600000001,2.1397736640000002,2000.0,No VIP,hourly,2026-07-28T12:03:24.099669+00:00
Backpack,ETH,0.001536082829875155,0.5606702329044316,20000.0,Public,annual,2026-07-28T12:03:26.783179+00:00
