rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,66908395142.867775,62.4543491,7715216989.327182,59193178153.540596
2,Coinbase Exchange,coinbase-exchange,1023547382.7842646,42.02443876,1023547382.7842646,0.0
3,Upbit,upbit,717008957.5806308,6.05176188,717008957.5806308,0.0
6,OKX,okx,25984440057.07467,48.77168145,1526012017.404791,24458428039.669876
7,Bybit,bybit,13975213556.787327,61.17419586,1443310544.042042,12531903012.745285
8,Bitget,bitget,8770092027.988602,65.64185213,688764574.4346205,8081327453.553981
9,Gate,gate,12330943919.842371,48.03701601,1376249208.056988,10954694711.785383
10,KuCoin,kucoin,2508189987.849101,27.79744602,828034191.8117923,1680155796.0373087
15,MEXC,mexc,15903692396.68859,27.96664213,1117877803.2498949,14785814593.438694
22,HTX,htx,2499660357.101244,6.35592865,974126394.0529624,1525533963.0482814
