symbol,name,price_usd,market_cap_usd,change_24h_pct,source,as_of
BTC,Bitcoin,63385.0,1272369473400.0,-2.623072858486717,CoinGecko demo,
ETH,Ethereum,1874.45,226352622039.0,-4.422162170317042,CoinGecko demo,
USDT,Tether,0.998926,183895282634.0,-0.011532797072214405,CoinGecko demo,
BNB,BNB,566.13,75422079069.0,-1.1902612326206574,CoinGecko demo,
USDC,USDC,0.999817,72427742448.0,-0.007727698597215316,CoinGecko demo,
XRP,XRP,1.048,65571668166.0,-5.122334373646977,CoinGecko demo,
SOL,Solana,73.11,42630048838.0,-4.5289635183935015,CoinGecko demo,
TRX,TRON,0.324897,30821645470.0,-1.7151185043834116,CoinGecko demo,
FIGR_HELOC,Figure Heloc,1.031,21131242823.0,1.658710222916821,CoinGecko demo,
HYPE,Hyperliquid,54.41,12106505244.0,-9.153948439109243,CoinGecko demo,
