protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,total_apy_method,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,DAI,3.364936373398976,,3.364936373398976,supply_plus_rewards,5.019130725283262,11075849.0,,,90.10908683924592,199956460.0,179960814.0,11074818.446140788,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569623+00:00
Aave,Ethereum,PYUSD,3.0246886365105308,,3.0246886365105308,supply_plus_rewards,4.4653246857798,2544295.0,,,75.79111749092789,20998230.54,17998483.32,2544101.446067154,False,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569990+00:00
Aave,Ethereum,USDT,2.6868455026647577,1.27,3.9568455026647578,supply_plus_rewards,3.643726732753482,79934240.0,,,82.31495421909165,3476241600.0,3086662800.0,534756916.1949194,True,False,False,7,审计成熟/头部流动性,2,a90d554a-b548-4f50-b03e-9dcb724b7777,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569348+00:00
Aave,Ethereum,USDC,3.1977893401523594,1.5,4.69778934015236,supply_plus_rewards,3.9765682959637574,65025137.0,,,89.68806059950636,2499650000.0,2249685000.0,221956474.3192303,True,False,False,7,审计成熟/头部流动性,2,6f00d46b-8735-49ae-9ced-2a0fccc56ad0,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569377+00:00
Aave,Ethereum,USDS,0.12680447063502948,3.37694,3.5037444706350294,supply_plus_rewards,5.68040566139068,11847075.0,,,3.0583995833474886,49990105.0,34193231.82,11846994.513815943,False,False,False,7,审计成熟/头部流动性,2,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569609+00:00
Aave,Arbitrum,USDC,2.597146668686575,,2.597146668686575,supply_plus_rewards,3.622398943202675,34382287.0,,,80.06246629589221,249956830.0,224961147.0,34266444.60008704,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569438+00:00
Aave,Base,USDC,3.462032863991418,,3.462032863991418,supply_plus_rewards,4.444267231023822,22790525.0,,,86.96671632961441,229959276.2,206963348.58,22750664.445982013,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.569492+00:00
Aave,Arbitrum,DAI,2.021992165591736,,2.021992165591736,supply_plus_rewards,3.925990320402238,1093879.0,,,69.31575089348732,4898790.925,4408911.8325,1094098.0096195692,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-28T12:03:39.570389+00:00
Spark,Ethereum,USDT,2.75,,2.75,supply_plus_rewards,,406831294.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-07-28T12:03:39.569249+00:00
Spark,Ethereum,USDC,3.52,,3.52,supply_plus_rewards,,272542568.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,c5c74dd1-995c-4445-9d84-3e710bad7d52,DefiLlama,DefiLlama,2026-07-28T12:03:39.569266+00:00
Spark,Ethereum,USDS,2.03493,,2.03493,supply_plus_rewards,,269540540.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,0ed981dc-b49d-426d-ade5-6014728b1ef9,DefiLlama,DefiLlama,2026-07-28T12:03:39.569272+00:00
Spark,Ethereum,DAI,2.16851,,2.16851,supply_plus_rewards,,112605289.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,DefiLlama,DefiLlama,2026-07-28T12:03:39.569324+00:00
Spark,Ethereum,PYUSD,0.29077,,0.29077,supply_plus_rewards,,91124562.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,995b269a-8409-4c55-b97e-868f443b432e,DefiLlama,DefiLlama,2026-07-28T12:03:39.569337+00:00
