source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-04-21T12:01:45.426068+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-21T12:01:46.421489+00:00
Backpack,USDT,0.013973159603238259,5.100203255181964,50000000.0,Public,annual,2026-04-21T12:01:48.708333+00:00
Binance,USDC,0.00803,2.9309499999999997,100000.0,VIP0,daily,2026-04-21T12:01:45.426317+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-04-21T12:01:46.421516+00:00
Backpack,USDC,0.004455290582726174,1.626181062695054,300000000.0,Public,annual,2026-04-21T12:01:48.708385+00:00
Binance,BTC,0.001167,0.425955,60.0,VIP0,daily,2026-04-21T12:01:45.426802+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-21T12:01:46.421707+00:00
Backpack,BTC,0.00045361662770326,0.1655700691116899,3000.0,Public,annual,2026-04-21T12:01:48.708469+00:00
Binance,ETH,0.006013999999999999,2.1951099999999997,400.0,VIP0,daily,2026-04-21T12:01:45.426880+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-21T12:01:46.421716+00:00
Backpack,ETH,0.004153864246895066,1.5161604501166992,20000.0,Public,annual,2026-04-21T12:01:48.708489+00:00
