rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,54088224447.17588,-4.04605325,9035017538.212542,45053206908.96333
2,Coinbase Exchange,coinbase-exchange,1772737406.1205955,24.62484843,1772737406.1205955,0.0
3,Upbit,upbit,931827612.9706273,-10.81385287,931827612.9706273,0.0
6,OKX,okx,21571022918.101257,-8.21541129,1198774127.094646,20372248791.00661
7,Bybit,bybit,16059247361.986303,-12.49103502,3495117435.2988176,12564129926.687485
9,Bitget,bitget,9571308216.673134,1.63560222,1300677726.3658884,8270630490.307245
11,Gate,gate,13125773864.154116,-10.38919423,1402042573.3905776,11723731290.763538
14,KuCoin,kucoin,4777964419.05013,-6.65356746,2181487494.286606,2596476924.7635245
15,MEXC,mexc,17302783306.50889,12.59932366,1191488984.240541,16111294322.268347
23,HTX,htx,3886308138.75395,-6.17298119,1468168856.3510778,2418139282.4028726
