rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,56181748529.45054,28.45942405,6350420575.932888,49831327953.517654
2,Coinbase Exchange,coinbase-exchange,1217841893.8778014,61.8706651,1217841893.8778014,0.0
3,Upbit,upbit,542714103.9920805,-2.15205981,542714103.9920805,0.0
6,OKX,okx,20099574233.252155,10.87149158,1048354539.6796768,19051219693.57248
7,Bybit,bybit,10883687410.241104,12.04195333,1267529709.4630527,9616157700.778051
8,Bitget,bitget,7698411888.502556,23.72578078,533356139.2275356,7165055749.275021
9,Gate,gate,11007526037.184822,9.02254753,1110840684.3126779,9896685352.872143
11,KuCoin,kucoin,2273247139.6365724,5.09293289,740794738.525146,1532452401.1114264
14,MEXC,mexc,12365853104.488401,44.99734666,1064177583.0992724,11301675521.38913
21,HTX,htx,2284088248.7572184,3.42795538,1050474899.1835269,1233613349.5736914
