symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,67965.0,1359621137721.0,-2.825805378833241
ETH,Ethereum,1980.68,239199606176.0,-3.3222888226604943
USDT,Tether,0.999949,183958487034.0,-0.0023683771880919037
BNB,BNB,627.06,85513290462.0,-1.7075641616478578
XRP,XRP,1.36,83542580157.0,-1.8724531567597993
USDC,USDC,0.999903,77266224534.0,2.012655094174866e-05
SOL,Solana,84.36,48153998408.0,-2.5284032744437774
TRX,TRON,0.284325,26936387517.0,-0.9601085201467349
FIGR_HELOC,Figure Heloc,1.024,16009535453.0,-1.0536441050128111
DOGE,Dogecoin,0.09036,13857663362.0,-2.8810935407409475
