rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,46986981983.28665,-22.61765732,6834333445.353805,40152648537.932846
2,Coinbase Exchange,coinbase-exchange,1564648224.7302153,-15.12053124,1564648224.7302153,0.0
3,Upbit,upbit,1131714631.1433809,-6.32106064,1131714631.1433809,0.0
6,OKX,okx,19028900470.797455,-17.12465049,1492083598.0164316,17575594220.085716
7,Bybit,bybit,13973706535.89983,-20.78607062,1579335166.9260657,12394371368.973764
8,Bitget,bitget,8331909998.038362,-10.90017403,1008094737.0428759,7323815260.995486
9,Gate,gate,13512628518.652489,-23.48377649,1600280169.9087634,11912348348.743725
11,KuCoin,kucoin,9500315870.948027,-45.99499435,1756076704.2373788,7744239166.710649
15,MEXC,mexc,10512918578.977964,-24.3577533,2084927832.4580595,8427990746.519904
22,HTX,htx,3219457701.4517546,-16.50311932,903083531.5245416,2316374169.9272127
