asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,68026.82,69999.86,70341.76,67446.41,-2.819,20.046281105911383,偏弱，下行主导
ETH,ETHUSDT,1981.86,2050.81,2062.12,1955.95,-3.362,24.404257323160866,偏弱，下行主导
