asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.52,3.52,,4689608864.0,DefiLlama API
USYC,circle-usyc,BSC,3.04856,3.04856,,2913651074.0,DefiLlama API
USDC,maple,Ethereum,4.91089,4.91089,0.0,2554807650.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,4.13097,4.13097,,1536561633.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,1107526372.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.569,3.569,,963102522.0,DefiLlama API
USDT,maple,Ethereum,4.36798,4.36798,0.0,870392521.0,DefiLlama API
USDS,centrifuge-protocol,Ethereum,2.80334,2.80334,,870154073.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.2279,3.2279,,821883701.0,DefiLlama API
USTB,invesco-ustb,Ethereum,3.3172,3.3172,,717736673.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.5379,3.5379,,653839521.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.53816,3.53816,,634198350.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,533281366.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.11413,,2.11413,508960223.0,DefiLlama API
USDD,justlend-v1,Tron,3.96947,0.00065,3.96881,452065529.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.57465,4.57465,0.0,423343106.0,DefiLlama API
USDC,jupiter-lend,Solana,4.98016,4.24749,0.73266,414805193.0,DefiLlama API
AUSD,centrifuge-protocol,Ethereum,4.57588,4.57588,,373875295.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.65496,4.65496,0.0,370837371.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.52,3.52,,361063348.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.68,7.68,,328599656.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,5.00461,1.90867,3.09594,315201030.0,DefiLlama API
SENRLUSDV2,morpho-blue,Ethereum,5.99647,2.55547,3.441,280193670.0,DefiLlama API
SIRLOINUSDC,morpho-blue,Base,5.35112,2.62751,2.72362,260888951.0,DefiLlama API
USDC,centrifuge-protocol,Avalanche,4.57588,4.57588,,260476950.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,257807003.0,DefiLlama API
USDE,morpho-blue,Base,4.5,0.0,4.5,256718187.0,DefiLlama API
USDG,maple,Ethereum,4.96568,4.96568,0.0,224339378.0,DefiLlama API
USDS,sky-lending,Ethereum,6.05807,,6.05807,213407835.0,DefiLlama API
SDAI,sky-lending,Ethereum,1.25,1.25,,210680140.0,DefiLlama API
STEAKUSDG,morpho-blue,Robinhood Chain,5.65967,2.6537,3.00598,196701528.0,DefiLlama API
STUSDS,sky-lending,Ethereum,6.48,6.48,,190321259.0,DefiLlama API
USDE,morpho-blue,Robinhood Chain,4.5,0.0,4.5,184814656.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,181661313.0,DefiLlama API
USDC,pareto-credit,Ethereum,8.31317,8.31317,,170707893.0,DefiLlama API
REUSD,re,Ethereum,6.20122,6.20122,,165647005.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,13.90101,13.90101,,153646854.0,DefiLlama API
SENPYUSDPRIMEV2,morpho-blue,Ethereum,5.99029,3.23379,2.7565,149071919.0,DefiLlama API
USDC,fluid-lending,Ethereum,5.56,5.56,,141023979.0,DefiLlama API
USDT,fluid-lending,Ethereum,4.31,4.31,,139155528.0,DefiLlama API
USD1,lista-lending,BSC,0.54627,0.54627,0.0,137884728.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,137344424.0,DefiLlama API
USD1,dolomite,Ethereum,7.10316,1.43911,5.66405,135411699.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,123817261.0,DefiLlama API
AUSD,accountable,Monad,6.8318,6.5475,0.2843,111484408.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.2279,3.2279,,110691029.0,DefiLlama API
STEAKEURCV,morpho-blue,Ethereum,3.5,3.5,0.0,109906068.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,8.47549,8.47549,,98078758.0,DefiLlama API
USDC,accountable,Monad,17.77532,17.6,0.17532,95455189.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.04856,3.04856,,90953951.0,DefiLlama API
STEAKUSDT,morpho-blue,Ethereum,3.58157,3.58157,0.0,88237558.0,DefiLlama API
GTUSDCP,morpho-blue,Ethereum,4.13911,4.13911,0.0,80879895.0,DefiLlama API
ETHENAUSDC,morpho-blue,Base,4.16522,4.16522,0.0,79866463.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,4.19869,4.19869,0.0,78228095.0,DefiLlama API
MSUSD,mainstreet,Ethereum,6.61464,6.61464,0.0,74389239.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,5.29099,3.78986,1.50112,70857473.0,DefiLlama API
USDC,midas-rwa,Ethereum,10.38,10.38,,70546437.0,DefiLlama API
STCUSD,cap,Ethereum,5.33247,,,68414895.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.23322,5.23322,,68168817.0,DefiLlama API
USD3,3jane-lending,Ethereum,6.80728,6.80728,,66784414.0,DefiLlama API
USDT,venus-core-pool,BSC,2.38431,2.38431,0.0,65810219.0,DefiLlama API
SFRAX,frax,Ethereum,1.24971,1.24971,,65127741.0,DefiLlama API
SKYMONEYUSDTSAVINGS,morpho-blue,Ethereum,3.32881,2.51345,0.81537,63304917.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,3.20316,3.20316,,61435558.0,DefiLlama API
STUSDT,stusdt,Tron,3.48468,,,60048398.0,DefiLlama API
SDAI,sdai,Gnosis,4.34504,4.34504,,58120378.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,8.36,,,56931230.0,DefiLlama API
GTUSDA,gauntlet,Base,4.81566,4.81566,,52246016.0,DefiLlama API
USDC,centrifuge-protocol,Base,4.57588,4.57588,,50227405.0,DefiLlama API
U,lista-lending,BSC,1.25276,1.25276,0.0,49862150.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,2.67429,2.65991,0.01439,46273430.0,DefiLlama API
USDT0,fluid-lending,Plasma,5.1,4.64,0.46,46167811.0,DefiLlama API
BBQUSDC,morpho-blue,Ethereum,4.84573,4.84573,0.0,41370929.0,DefiLlama API
SUSDU,unitas,BSC,9.95667,9.95667,,41124804.0,DefiLlama API
