asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend,source
BTC,BTCUSDT,64514.57,64061.56,64596.41,64040.83,0.707,85.26944814428101,区间震荡,Binance.US fallback
ETH,ETHUSDT,1886.06,1858.14,1889.42,1857.23,1.503,89.56197576887193,偏强震荡,Binance.US fallback
