exchange,asset,spot_price_usd,mark_price_usd,index_price_usd,basis_pct,funding_rate_pct,funding_interval_hours,annual_funding_pct,open_interest_contracts,quote_ccy
Binance,BTC,69241.8,69208.42273913,69247.48869565,-0.05641497945391631,-0.003998,8.0,-4.37781,86925.176,USDT
Binance,ETH,2067.65,2066.4,2067.74976744,-0.06527711724379226,-0.009254,8.0,-10.13313,2180333.078,USDT
OKX,BTC,69236.1,69190.1,,,0.00486365137892,8.0,5.3256982599174005,31552.243000000217,USDT
OKX,ETH,2067.65,2066.25,,,0.00781727385384,8.0,8.5599148699548,755286.1420000015,USDT
