rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,57279252596.12198,-8.15324911,8330076905.68926,48949175690.43272
2,Coinbase Exchange,coinbase-exchange,1482858376.7035503,-13.42793407,1482858376.7035503,0.0
3,Upbit,upbit,1011893890.3136598,-11.34703594,1011893890.3136598,0.0
6,OKX,okx,21379902035.362232,-12.90012332,1348791034.2944078,20069888348.37252
7,Bybit,bybit,15819417116.60019,-14.12403223,1839677404.820266,13979739711.779922
8,Bitget,bitget,10162636934.821867,-4.69791601,874192456.162595,9288444478.659271
9,Gate,gate,14475423625.625149,-6.06678836,1554514395.1138356,12920909230.511312
10,KuCoin,kucoin,62311790263.14027,369.42696249,1875656193.5974097,60436134069.542854
11,MEXC,mexc,14789551863.531424,-8.2413315,2255676442.9652715,12533875420.566153
22,HTX,htx,3814659105.797633,-4.67432903,1036706620.0397332,2777952485.7579
