asset,provider,apy_pct,source
DAI,EarnPark,7.0,Bitcompare
TUSD,YouHodler,20.0,Bitcompare
USDC,EarnPark,5.0,Bitcompare
USDP,Nexo,11.5,Bitcompare
USDT,EarnPark,30.0,Bitcompare
